,Score,time,subject,nb_cal,clf,score_01
25,0.94,1.4629629629629632,1,7,Xdawn+RG+LDA,0.7774565077319588
26,0.88,1.4617283950617288,1,7,Xdawn+RG+SVC,0.7285840850515464
27,0.91,1.4114942528735637,1,7,Xdawn+LDA,0.8316929768041237
28,0.93,1.4616666666666667,1,8,Xdawn+RG+MDM,0.8257547864506627
29,0.86,1.3992063492063491,1,8,Xdawn+RG+LDA,0.7741163475699557
30,0.82,1.384782608695652,1,8,Xdawn+RG+SVC,0.7407308541973491
31,0.86,1.414285714285714,1,8,Xdawn+LDA,0.8183449926362297
32,0.88,1.4379629629629629,1,9,Xdawn+RG+MDM,0.8181486254295532
33,0.88,1.4141666666666666,1,9,Xdawn+RG+LDA,0.7652384020618557
34,0.92,1.4287878787878785,1,9,Xdawn+RG+SVC,0.7431701030927835
35,1.0,1.4507936507936505,1,9,Xdawn+LDA,0.8403135738831615
36,0.66,1.4614285714285715,2,1,Xdawn+RG+MDM,0.6147505522827688
37,0.66,1.4782828282828282,2,1,Xdawn+RG+LDA,0.5804537923416789
38,0.36,1.3474637681159423,2,1,Xdawn+RG+SVC,0.5085051546391752
39,0.71,1.4562499999999998,2,1,Xdawn+LDA,0.5954758836524301
40,0.71,1.4480392156862745,2,2,Xdawn+RG+MDM,0.6852101506740682
41,0.63,1.4598958333333332,2,2,Xdawn+RG+LDA,0.6370440126883425
42,0.73,1.398648648648649,2,2,Xdawn+RG+SVC,0.570415344964314
43,0.83,1.4035714285714287,2,2,Xdawn+LDA,0.6840949643140365
44,0.83,1.4457264957264961,2,3,Xdawn+RG+MDM,0.7286887886597938
